InteractorA,Relation,InteractorB,PMID
FLT4,inhibitor,CEP-11981,
CASP1,inhibitor,VRT-043198,
PIK3R5,inhibitor,GSK-1059615,
PRKCG,inhibitor,BALANOL,
ESRRG,antagonist,DIETHYLSTILBESTROL,
MKNK1,inhibitor,TOMIVOSERTIB,
MC3R,antagonist,HS024,
BIRC3,antagonist,LCL161,
GABRB3,positive modulator,LORAZEPAM,
LIMK2,inhibitor,ZAK INHIBITOR 6P,
SCN1A,blocker,QUINIDINE POLYGALACTURONATE,
ADRB1,antagonist,CARVEDILOL PHOSPHATE,
CHRNA7,agonist,ND0801,
NR3C1,agonist,DEFLAZACORT,
NR3C1,agonist,FLUPREDNISOLONE,
SCN3A,blocker,OXCARBAZEPINE,
CHRNA7,agonist,4BP-TQS,
TRPC5,activator,ROSIGLITAZONE,
AVPR2,antagonist,CONIVAPTAN,
HSP90AA1,inhibitor,XL888,
GABRG1,positive modulator,CHLORDIAZEPOXIDE,
TBXA2R,antagonist,S-5751,
FGFR4,inhibitor,NINTEDANIB ESYLATE,
HTR7,agonist,XANOMELINE,
NAT1,inhibitor,SIBUTRAMINE HYDROCHLORIDE,
HDAC1,inhibitor,PANOBINOSTAT,
SLC6A4,inhibitor,PHENELZINE,
MAP4K5,inhibitor,HESPERADIN,
EGFR,antibody,PANITUMUMAB,
FGFR2,inhibitor,NINTEDANIB,
SCN11A,blocker,ORPHENADRINE (CHLORIDE),
KDR,inhibitor,NINTEDANIB,
GLRA2,antagonist,"5,7-DICHLOROKYNURENIC ACID",
HTR2A,antagonist,LY53857,
SLCO1B1,inhibitor,ESTRONE-3-SULPHATE,
SCN3A,blocker,ORPHENADRINE CITRATE,
OGG1,inhibitor,TH5487,
FLT1,inhibitor,MOTESANIB,
PDE1A,inhibitor,CRISABOROLE,
HCRTR2,antagonist,MK-3697,
CHRM3,antagonist,ATROPINE,
MS4A1,antibody,OFATUMUMAB,
HDAC7,inhibitor,ENTINOSTAT,
SLC1A2,inhibitor,DL-TBOA,
GRIK4,agonist,DYSIHERBAINE,
ADORA2A,agonist,GS9667,
NDUFB7,inhibitor,NV-128,
TRPV1,activator,DIPHENYLBORONIC ANHYDRIDE,
HTR1A,agonist,SUMATRIPTAN,
INPPL1,inhibitor,AS1949490,
BLK,inhibitor,TG100-801,
GALR2,agonist,M1153,
SIK3,inhibitor,HG-9-91-01,
PLG,activator,DEFIBROTIDE SODIUM,
LSS,inhibitor,COMPOUND 3,22533316
PARP1,inhibitor,RUCAPARIB,
KCNN2,activator,EBIO,
NR3C1,agonist,BENZODROCORTISONE,
NPBWR2,agonist,NEUROPEPTIDE W-30,
IMPDH2,inhibitor,MYCOPHENOLATE MOFETIL,
PDGFRA,inhibitor,PP121,
HTR7,antagonist,LURASIDONE,
PIK3CG,inhibitor,AZD7648,
NR3C1,antagonist,MIFEPRISTONE,
INSR,agonist,INSULIN ZINC SUSP PROMPT BEEF,
PIK3R3,inhibitor,BAY80-6946,
TYK2,inhibitor,JAK INHIBITOR 20A,
CRHR1,antagonist,R121919,
CHRM1,antagonist,SOLIFENACIN,
SLC22A6,inhibitor,PROBENECID,
CDK5,inhibitor,SU9516,
OPRM1,agonist,UFP-505,
ROCK1,inhibitor,Y27632,
SCN8A,blocker,SAXITOXIN,
OXTR,agonist,LIT-001,
HTR1E,antagonist,METHYLERGONOVINE,
RXFP1,agonist,RELAXIN-1,
MAPKAP1,inhibitor,MLN0128,
HTR1A,agonist,NLX-101,
SRC,inhibitor,SARACATINIB,
PLD1,inhibitor,COMPOUND 69,19136975
MS4A1,antibody,OCRELIZUMAB,
PDE4C,inhibitor,THEOPHYLLINE,
S1PR4,agonist,PONESIMOD,
CHRM2,antagonist,SILAHEXOCYCLIUM,
TRPV1,blocker,6-IODO-NORDIHYDROCAPSAICIN,
ACVRL1,inhibitor,PANULISIB,
MET,inhibitor,MGCD265,
PDGFRB,inhibitor,MASITINIB,
MAPK10,inhibitor,J30-8,
AURKB,inhibitor,TOZASERTIB,
CHRM3,antagonist,TROPICAMIDE,
HTR2C,antagonist,THIORIDAZINE,
NTRK3,inhibitor,AZD1332,
ARG1,inhibitor,A1P,
PTGS1,inhibitor,KETOPROFEN,
HTR2B,agonist,CAPESEROD,
PTGS1,inhibitor,SULINDAC,
DRD2,antagonist,OLANZAPINE,
CCR4,antagonist,AZD2098,
MCHR1,antagonist,ATC0175,
PRKCD,inhibitor,DELCASERTIB,
GABRA2,positive modulator,HALOTHANE,
CDK6,inhibitor,LEROCICLIB,
OXTR,antagonist,"L-367,938",
CHEK2,inhibitor,PF-477736,
AVPR2,antagonist,D(CH2),
ADRB2,agonist,GSK159802,
CACNA1S,blocker,VERAPAMIL,
CSF1R,inhibitor,ARRY-382,
EDNRA,agonist,ENDOTHELIN-2,
GABRA4,agonist,PIPERIDINE-4-SULPHONIC ACID,
HCRTR2,antagonist,ACT-462206,
TRPA1,"blocker,inhibitor",AP18,
SCN8A,blocker,ESLICARBAZEPINE ACETATE,
GABRA1,allosteric modulator,ZOLPIDEM,
ADRA1A,antagonist,RAUWOLFIA SERPENTINA,
SCN7A,blocker,RUFINAMIDE,
ADRA1A,antagonist,PRAZOSIN,
ADORA3,agonist,2-HEXYNYL-NECA,
KIT,inhibitor,GTP-14564,
F2,inhibitor,LEPIRUDIN,
PIK3CD,inhibitor,STK16-IN-1,
CHRM3,antagonist,SOLIFENACIN SUCCINATE,
PDCD1,antibody,NIVOLUMAB,
EGFR,inhibitor,COMPOUND 56,8568816
CYP2B6,inhibitor,SIBUTRAMINE,
DGAT1,inhibitor,T863,
MAP2K1,inhibitor,GDC-0973,
AVPR1B,agonist,VASOPRESSIN TANNATE,
SSTR4,agonist,BIM 23068,
PIK3R4,inhibitor,XL147,
FPR2,agonist,"PYRAZOLONE, 1",
FGFR3,inhibitor,MASITINIB,
PTGER2,agonist,ALPROSTADIL,
PSMB10,inhibitor,MARIZOMIB,
ADORA3,agonist,HEMADO,
CDK2,inhibitor,(7S)-HYDROXYL-STAUROSPORINE,
ADRA1B,agonist,METHOXAMINE,
LHCGR,agonist,LH,
FLT1,inhibitor,PEXIDARTINIB,
PDCD1,antibody,PEMBROLIZUMAB,
DRD4,antagonist,SONEPIPRAZOLE,
CXCR1,antagonist,NAVARIXIN HYDRATE,
NDUFA11,inhibitor,NV-128,
CHRNA4,allosteric modulator,LY2087101,
DRD3,agonist,TERGURIDE,
PTGDR2,agonist,PGD2,
AGTR1,agonist,ANGIOTENSIN A,
PRKCZ,activator,ARACHIDONIC ACID,
HRH3,antagonist,UCL-2138,
GALR3,antagonist,C7,
HCAR3,agonist,COMPOUND 6O,19524438
PDGFRA,inhibitor,Famitinib,
KDR,inhibitor,PLX-4720,
DHODH,inhibitor,VIDOFLUDIMUS,
DNMT3A,inhibitor,DECITABINE,
HTR6,agonist,5-HYDROXYTRYPTAMINE,
AVPR2,antagonist,"[PHAA1,D-TYR(ET)2,LYS6,DES-GLY9]AVP",
FLT4,inhibitor,SORAFENIB TOSYLATE,
GPR63,agonist,DIHYDROSPHINGOSINE 1-PHOSPHATE,
TUBB4B,inhibitor,BRENTUXIMAB VEDOTIN,
MAPKAP1,inhibitor,AZD8055,
MAPK1,inhibitor,ULIXERTINIB,
GRIN2C,agonist,L-ASPARTIC ACID,
ACACA,inhibitor,TOFA,
SRC,inhibitor,DASATINIB,
NDUFB4,inhibitor,METFORMIN HYDROCHLORIDE,
RBX1,inhibitor,LENALIDOMIDE,
KCNV2,blocker,NERISPIRDINE,
PDE4D,inhibitor,AMLEXANOX,
P2RY1,agonist,MRS2365,
HTR2C,antagonist,SPIRAMIDE,
MAOB,inhibitor,MOCLOBEMIDE,
GABRA3,allosteric modulator,L838417,
EGFR,inhibitor,BMS-599626,
P2RY6,agonist,MRS2782,
MTOR,inhibitor,DS-3078A,
CA2,inhibitor,ETHOXZOLAMIDE,
DDR2,inhibitor,DASATINIB,
OPRD1,antagonist,ZYKLOPHIN,
C5AR2,agonist,C5A HEXAPEPTIDE ANALOGUE,
HDAC6,inhibitor,CHR-3996,
MTNR1A,antagonist,S26131,
COMT,inhibitor,OPICAPONE,
ADORA3,agonist,GS9667,
MLNR,agonist,ROXITHROMYCIN,
MC2R,agonist,CORTICOTROPIN ZINC HYDROXIDE,
PSMA3,inhibitor,BORTEZOMIB,
SCN2A,blocker,CARBAMAZEPINE,
DRD3,antagonist,RISPERIDONE,
MET,inhibitor,ONARTUZUMAB,
PIK3CG,inhibitor,RG-7666,
PTK2,inhibitor,PF-00562271,
FLT3,inhibitor,GÌÐ 6976,
HDAC1,inhibitor,PRACINOSTAT,
HTT,inhibitor,DASOTRALINE,
CXCR3,agonist,CCL20,
ADRB2,agonist,PROCATEROL,
HDAC3,inhibitor,FIMEPINOSTAT,
CDK4,inhibitor,PALBOCICLIB,
HDAC5,inhibitor,VORINOSTAT,
CHRM2,antagonist,LEVETIMIDE,
DRD5,agonist,(+)-SKF-82526,
HTR1A,agonist,IPSAPIRONE,
CHRM4,antagonist,IPRATROPIUM,
PIK3CD,inhibitor,BUPARLISIB,
PIK3CA,inhibitor,BYL719,
SLC29A4,inhibitor,DESIPRAMINE,
NTSR1,agonist,NEUROTENSIN,
ADRA2B,antagonist,PHENOXYBENZAMINE HYDROCHLORIDE,
MAP3K2,inhibitor,URMC-099,
ADORA3,antagonist,VUF5574,
PIK3CG,inhibitor,SONOLISIB,
IRAK4,inhibitor,PF-06426779,
PSMC4,inhibitor,CARFILZOMIB,
ADORA1,antagonist,ZM-241385,
DRD3,antagonist,(+)-UH232,
PGR,agonist,BUDESONIDE,
BRAF,inhibitor,VEMURAFENIB,
ADORA2A,antagonist,SCH 58261,
PSMA1,inhibitor,IXAZOMIB CITRATE,
PPARG,agonist,NAVEGLITAZAR,
JAK1,inhibitor,SOLCITINIB,
ADRA1D,antagonist,RO-70-0004,
GRM2,allosteric modulator,3-MPPTS,
GABRB3,positive modulator,ESZOPICLONE,
SLCO1B3,inhibitor,RIFAMPICIN,
PIM1,inhibitor,CX-6258,
PIK3R4,inhibitor,BKM120,
GABRB1,positive modulator,PRIMIDONE,
PSMD1,inhibitor,CARFILZOMIB,
FFAR1,agonist,ëÔ-LINOLENIC ACID,
GRIK4,agonist,KAINATE,
KCNQ3,activator,FLINDOKALNER,
POLD1,inhibitor,FLUDARABINE PHOSPHATE,
MAP3K10,inhibitor,CEP-1347,
CACNA1F,blocker,BEPRIDIL HYDROCHLORIDE,
EDNRB,antagonist,DARUSENTAN,
PIK3C2G,inhibitor,BYL719,
TUBB1,inhibitor,PACLITAXEL,
SCN4A,blocker,RANOLAZINE,
BCHE,inhibitor,BAMBUTEROL,
CXCR2,antagonist,DANIRIXIN,
HRH3,antagonist,GT2394,
PDE4A,inhibitor,PENTOXIFYLLINE,
PDGFRA,antibody,MEDI-575,
GPR88,agonist,COMPOUND 2,24793972
CHRM4,antagonist,TROPICAMIDE,
PSMD3,inhibitor,IXAZOMIB CITRATE,
KIT,inhibitor,MASITINIB,
XIAP,inhibitor,LCL161,
LCK,inhibitor,PP2,
BRD4,inhibitor,MS436,
FGFR4,inhibitor,AZD-4547,
CHRNA6,antagonist,[125I]ëÔ-CONOTOXIN MII,
ADORA2A,antagonist,THEOPHYLLINE SODIUM GLYCINATE,
JAK2,inhibitor,BARICITINIB,
GABRB1,positive modulator,PENTOBARBITAL,
PDE7A,inhibitor,CRISABOROLE,
RARG,agonist,BMS270394,
NDUFA4L2,inhibitor,ME-344,
DRD2,antagonist,ZIPRASIDONE MESYLATE,
CYP1B1,inhibitor,CHRYSIN,
MAP2K2,inhibitor,COBIMETINIB FUMARATE,
P2RY11,agonist,2MESATP,
GABRR2,agonist,ISOGUVACINE,
PDGFRB,inhibitor,PD-0166285,
KIT,inhibitor,KI-20227,
MAP3K5,inhibitor,SELONSERTIB,
GABRA6,positive modulator,ESZOPICLONE,
CDK1,inhibitor,SU9516,
AURKA,inhibitor,MK-6592,
PSMB10,inhibitor,CARFILZOMIB,
CDK2,inhibitor,SELICICLIB,
HTR1E,antagonist,YOHIMBINE,
CHRM1,antagonist,BENZTROPINE MESYLATE,
BRS3,agonist,COMPOUND 8A,24900283
HDAC7,inhibitor,PANOBINOSTAT,
PPARA,agonist,GEMFIBROZIL,
P2RX1,allosteric modulator,MRS 2219,
FLT3,inhibitor,AS703569,
HDAC2,inhibitor,QUISINOSTAT,
IMPDH1,inhibitor,MYCOPHENOLATE MOFETIL,
PARP1,inhibitor,NIRAPARIB,
DPP4,inhibitor,COMPOUND 24DD,20684603
P2RY14,agonist,MRS2690,
HDAC9,inhibitor,ROMIDEPSIN,
ASIC1,blocker,BENZAMIL,
GABBR2,agonist,BACLOFEN,
HRH3,antagonist,PF-03654746,
PIK3CG,inhibitor,CZC 24832,
MAP2K1,inhibitor,Refametinib,
ADK,inhibitor,A134974,
CA14,inhibitor,ETHOXZOLAMIDE,
SNAP25,inhibitor,ABOBOTULINUMTOXINA,
GRIN2A,antagonist,AMANTADINE HYDROCHLORIDE,
CXCR4,agonist,CXCL12ëÔ,
ADRA2B,agonist,GUANFACINE HYDROCHLORIDE,
TUBB4B,inhibitor,PACLITAXEL,
BCL2L1,antagonist,NAVITOCLAX,
PGR,agonist,NORETHINDRONE,
MAP2K1,inhibitor,GDC-0973,
CYP11B2,inhibitor,OSILODROSTAT,
CDK4,inhibitor,BAY1000394,
TRPC4,blocker,ML204,
DRD3,antagonist,CHLORPROMAZINE HYDROCHLORIDE,
F2RL1,agonist,2-FUROYL-LIGR,
SCN2A,blocker,PROPAFENONE HYDROCHLORIDE,
CNR2,agonist,NABILONE,
SLC5A2,inhibitor,SOTAGLIFLOZIN,
ADRA1B,antagonist,UPIDOSIN,
CHRM3,agonist,CARBACHOL,
AR,agonist,TESTOSTERONE CYPIONATE,
ERBB2,inhibitor,INSM-18,
SSTR4,antagonist,[D-TYR8]CYN 154806,
PTGIR,agonist,EP 157,
GALR1,agonist,GALMIC,
ADORA2B,antagonist,OSIP339391,
SLC12A3,inhibitor,INDAPAMIDE,
MAPKAPK2,inhibitor,COMPOUND 8,17480064
NR1H3,antagonist,GSK2033,
NR1H2,modulator,BMS-852927,
PTGS1,inhibitor,DICLOFENAC,
SCN4A,blocker,LIDOCAINE,
GABRR2,antagonist,TRANS-3-ACPBPA,
ITK,inhibitor,COMPOUND 7,22464456
SRC,inhibitor,XL228,
RXRA,antagonist,PA451,
TNFRSF8,inhibitor,BRENTUXIMAB VEDOTIN,
GHSR,agonist,MACIMORELIN,
ACE,inhibitor,ZOFENOPRIL,
SCN8A,blocker,DISOPYRAMIDE PHOSPHATE,
ADORA3,antagonist,ATL802,
KCNMA1,blocker,SLOTOXIN,
SSTR2,agonist,IN-NODAGATOC,
AVPR1B,agonist,DAVP,
PPARA,agonist,DRF-10945,
CD38,antibody,MEZAGITAMAB,
GUCY1A2,activator,NITROGLYCERIN,
RARG,agonist,TAZAROTENE,
ACE,inhibitor,PERINDOPRILAT,
TRPV4,activator,RN1747,
TOP2A,inhibitor,ALDOXORUBICIN,
HTR6,agonist,LISURIDE,
HDAC3,inhibitor,SCRIPTAID,
CDK2,inhibitor,DINACICLIB,
GPER1,agonist,TAMOXIFEN,
GABRG2,positive modulator,TEMAZEPAM,
ADRA1B,agonist,TETRAHYDROZOLINE HYDROCHLORIDE,
AKT1,inhibitor,EVEROLIMUS,
PSMD1,inhibitor,BORTEZOMIB,
ADRA2A,agonist,GUANFACINE,
SCN3A,blocker,LIDOCAINE,
PTH2R,agonist,PTHRP-(1-34) (HUMAN),
AKT3,inhibitor,COMPOUND 1,20005102
ITGB1,antibody,PF-04605412,
HTR2B,antagonist,RS-127445,
EPHA7,inhibitor,VANDETANIB,
GPR55,agonist,CHGB (511-532),
CREBBP,inhibitor,SGC-CBP30,
OPRM1,agonist,HYDROCODONE,
CYP19A1,inhibitor,AZALANSTAT,
HDAC3,inhibitor,QUISINOSTAT,
SSTR2,agonist,[67GA]NODAGA,
PIK3CD,inhibitor,SONOLISIB,
PTGER3,agonist,ONO-AE-248,
OPRK1,antagonist,DIPRENORPHINE,
AVPR2,antagonist,D(CH2),
P2RY14,agonist,UDP-GALACTOSE,
GIPR,antagonist,MK-0893,
KCNJ3,blocker,BA2+,
KCNA6,blocker,DALFAMPRIDINE,
BRAF,inhibitor,VEMURAFENIB,
RRM1,inhibitor,CLOFARABINE,
KIT,inhibitor,SUNITINIB,
KCND2,blocker,GUANIDINE HYDROCHLORIDE,
CHRM1,allosteric modulator,VINBURNINE,
CD274,antibody,MPDL3280A,
KDR,inhibitor,FORETINIB,
BTK,inhibitor,SPEBRUTINIB,
PDE1B,inhibitor,PENTOXIFYLLINE,
GRIA2,antagonist,GYKI53784,
GALR2,agonist,GALANIN(5-29) (RAT/MOUSE),
PIK3R5,inhibitor,DS-7423,
SSTR1,agonist,SRIF-28,
SRC,inhibitor,KX2-391,
SLC47A1,inhibitor,CIMETIDINE,
IFNAR2,agonist,INTERFERON ALFA-2A,
PRKCA,inhibitor,GSK-690693,
PIK3CG,inhibitor,BYL719,
KCNF1,blocker,TEDISAMIL,
BRAF,inhibitor,VEMURAFENIB,
KIT,inhibitor,SU-14813,
HDAC6,inhibitor,VORINOSTAT,
KDR,inhibitor,TIVOZANIB,
FGFR2,inhibitor,INFIGRATINIB,
NR3C1,agonist,HALCINONIDE,
VKORC1,inhibitor,PHENPROCOUMON,
CREBBP,inhibitor,I-CBP112,
FAAH,inhibitor,JZL195,
HTR1E,agonist,8-OH-DPAT,
RARA,agonist,NRX195183,
ITGB1,antibody,VOLOCIXIMAB,
SCN3A,blocker,NW-3509,
PAK1,inhibitor,PF-3758309,
NMUR1,agonist,COMPOUND 8D,24999562
GABRG1,inverse agonist,RESEQUINIL,
CXCR2,agonist,HIV-1 MATRIX PROTEIN P17,
GABRG2,positive modulator,CHLORDIAZEPOXIDE HYDROCHLORIDE,
SCN3A,blocker,TETRODOTOXIN,
KDM5B,inhibitor,GSK-J1,
SSTR2,agonist,[125I]TYR3 SMS 201-995,
DRD2,antagonist,PROCHLORPERAZINE,
OPRM1,agonist,ETONITAZENE,
KCNA5,blocker,RESINIFERATOXIN,
HTR4,antagonist,TROPISETRON,
NALCN,blocker,GD3+,
KIT,inhibitor,AXITINIB,
BRAF,inhibitor,XL281,
AHCY,inhibitor,3-DEAZAADENOSINE,
RGS4,inhibitor,RGS4 INHIBITOR 11B,
CNR2,agonist,JWH-133,
PDGFRA,inhibitor,XL-999,
GABRA1,allosteric modulator,ALPRAZOLAM,
PDE5A,inhibitor,UDENAFIL,
GRM2,antagonist,[3H]LY341495,
HTR7,antagonist,[3H]SB269970,
ORAI1,blocker,CRAC CHANNEL INHIBITOR 1,26256403
AKT2,inhibitor,TRICIRIBINE PHOSPHATE,
KCNA5,blocker,DALFAMPRIDINE,
CYSLTR1,antagonist,IRALUKAST,
CDK4,inhibitor,RO-0505124,
EGFR,inhibitor,IBRUTINIB,
EGLN1,inhibitor,IOX1,
EGFR,inhibitor,OSIMERTINIB,
ADAMTS4,inhibitor,COMPOUND 15C,21536437
GRIN2B,partial agonist,RAPASTINEL,
MC3R,agonist,BREMELANOTIDE,
PSMC4,inhibitor,BORTEZOMIB,
SLC47A2,inhibitor,CIMETIDINE,
HDAC8,inhibitor,PANOBINOSTAT,
CDK4,inhibitor,ALVOCIDIB,
AR,agonist,[3H]DIHYDROTESTOSTERONE,
PIK3R1,inhibitor,PKI-587,
SCN7A,blocker,ETHOTOIN,
KDM1A,inhibitor,GSK2879552,
IGF1R,inhibitor,PICROPODOPHYLLOTOXIN,
AR,agonist,ANDARINE,
SCN10A,blocker,NKTR-171,
PIK3CA,inhibitor,FIMEPINOSTAT,
CACNA1D,modulator,PREGABALIN,
AURKA,inhibitor,SNS-314,
CA4,inhibitor,ACETAZOLAMIDE,
CHRM4,allosteric modulator,"WIN 62,577",
SCN3A,activator,BATRACHOTOXIN,
CHRM4,allosteric modulator,VINCAMINE,
BTK,inhibitor,IBRUTINIB,
CACNG5,modulator,GABAPENTIN ENACARBIL,
ADORA3,agonist,CYCLOPENTYLADENOSINE,
ESR2,agonist,PRINABEREL,
IMPDH1,inhibitor,MYCOPHENOLATE MOFETIL HYDROCHLORIDE,
ADORA3,antagonist,MRS1220,
IKBKB,inhibitor,AS-602868,
CDK1,inhibitor,ALVOCIDIB,
ARG2,inhibitor,COMPOUND 9,23472952
PIK3CG,inhibitor,COMPOUND 52,28541707
ADRA1D,antagonist,ALFUZOSIN,
TUBA4A,inhibitor,COLCHICINE,
ADRB2,agonist,INDACATEROL MALEATE,
HDAC3,inhibitor,ENTINOSTAT,
CCR6,agonist,BETA-DEFENSIN 4A,
MAPK7,inhibitor,BIX02189,
PTGIR,agonist,SELEXIPAG,
MET,inhibitor,TIVANTINIB,
PARP1,inhibitor,NIRAPARIB,
STK3,inhibitor,STAUROSPORINE,
GPR84,antagonist,SETOGEPRAM,
FGFR3,inhibitor,MASITINIB,
CDK2,inhibitor,ALVOCIDIB,
ADRA1B,agonist,(+)-ADRENALINE,
CHRM2,allosteric modulator,BRUCINE,
SLC29A1,inhibitor,TICAGRELOR,
ROCK1,inhibitor,NETARSUDIL,
MAP2K1,inhibitor,TRAMETINIB,
GABRE,positive modulator,PRAZEPAM,
MMP9,inhibitor,AZD1236,
NPBWR1,agonist,AVA3,
GABRP,positive modulator,HALAZEPAM,
HTR1B,agonist,BROMOCRIPTINE,
GALR2,agonist,GALANIN(2-30) (HUMAN),
HTR2A,antagonist,NEFAZODONE HYDROCHLORIDE,
FOLH1,antibody,CAPROMAB,
OPRM1,antagonist,AT-076,
PIK3R4,inhibitor,SOPHORETIN,
PTGDR,antagonist,ONO-AE3-237,
ADRA1D,antagonist,A-119637,
NTSR1,agonist,JMV431,
P2RY12,antagonist,AR-C67085,
KCNT1,blocker,QUINIDINE,
CHRNA5,antagonist,ëÔ-CONOTOXIN MII,
TPH1,inhibitor,6-FLUOROTRYPTOPHAN,
MAP2K1,inhibitor,TRAMETINIB,
GABRA6,positive modulator,ALPRAZOLAM,
IKBKB,inhibitor,IKK-BETA INHIBITOR R-28,
GJA8,inhibitor,OCTANOL,
RARG,agonist,ACITRETIN,
SCN2A,blocker,PROPOXYCAINE HYDROCHLORIDE,
RXFP4,agonist,MINIMISED RELAXIN-3 ANALOGUE 2,
HTR1D,agonist,EMDT,
GABRE,positive modulator,ISOFLURANE,
CDK11B,inhibitor,AZD-5438,
ELANE,inhibitor,COMPOUND 10F,24556381
TNFRSF8,agonist,SGN-30,
FLT1,inhibitor,CEP-7055,
CDK9,inhibitor,COMPOUND 18,20873740
HDAC9,inhibitor,PANOBINOSTAT,
OXTR,antagonist,COMPOUND 37,16250654
TACR1,agonist,SUBSTANCE P-OME,
HTR7,antagonist,OLANZAPINE,
EGFR,inhibitor,NECITUMUMAB,
SYK,inhibitor,TAMATINIB,
DRD1,antagonist,FLUPENTIXOL,
SCN3A,blocker,ESLICARBAZEPINE,
AURKA,inhibitor,TOZASERTIB,
FZD7,antibody,VANTICTUMAB,
MAP3K9,inhibitor,P505-15,
GJA4,inhibitor,CA2+,
CDK13,inhibitor,PHA-793887,
EGFR,inhibitor,GEFITINIB,
OPRM1,antagonist,NALTRIBEN,
ABCB1,inhibitor,COMPOUND 14,30925062
MCHR1,antagonist,S36539,
MET,inhibitor,JNJ38877605,
FPR1,agonist,MET-MET-TRP-LEU-LEU,
GABRA3,allosteric modulator,TRIAZOLAM,
ADRA2B,agonist,LOFEXIDINE,
OPRD1,antagonist,NALDEMEDINE,
GRIN3B,antagonist,ACAMPROSATE CALCIUM,
CHRM5,antagonist,DAROTROPIUM BROMIDE,
CACNA1C,blocker,DILTIAZEM MALATE,
NR1H4,agonist,TUROFEXORATE ISOPROPYL,
NCSTN,inhibitor,AVAGACESTAT,
PPARG,agonist,DB959,
CSK,inhibitor,HESPERADIN,
ADRB1,antagonist,ESMOLOL HYDROCHLORIDE,
ERBB4,inhibitor,XILIERTINIB,
PGR,agonist,DESOGESTREL,
NOTCH1,inhibitor,MK0752,
JAK3,inhibitor,AT9283,
CRHR1,agonist,"[125I]UROCORTIN 1 (MOUSE, RAT)",
CHRNA7,partial agonist,SSR180711,
CACNA1G,blocker,TRIMETHADIONE,
ADORA3,antagonist,[3H]PSB-11,
FZD1,antagonist,VANTICTUMAB,
HTR2B,agonist,METHYLERGONOVINE,
GRIN1,antagonist,COMPOUND 8, 17562362}
MTNR1B,agonist,[125I]SD6,
NR3C1,agonist,TRIAMCINOLONE,
PIK3CG,inhibitor,SF-1126,
TOP2B,inhibitor,BECATECARIN,
SCN11A,blocker,ETHOTOIN,
PIK3R2,inhibitor,VOXTALISIB,
CDK8,inhibitor,PHA-793887,
PDGFRB,inhibitor,CP-673451,
IL1B,inhibitor,CANAKINUMAB,
CALCRL,antagonist,MK3207,
HDAC5,inhibitor,KA1010,
F2,inhibitor,BIVALIRUDIN,
EGFR,inhibitor,ERLOTINIB HYDROCHLORIDE,
IDE,inhibitor,NTE-1,
MTTP,inhibitor,LOMITAPIDE MESYLATE,
GABRE,positive modulator,SECOBARBITAL SODIUM,
ADRB3,antagonist,ICI 118551,
GRIN2C,blocker,[3H]DIZOCILPINE,
RXFP2,antagonist,A(ëÓ10/15C)INSL3,
MT-ND6,inhibitor,METFORMIN HYDROCHLORIDE,
PIK3CD,allosteric modulator,PIK-108,
CDK2,inhibitor,JNJ-7706621,
GABRA5,positive modulator,BUTALBITAL,
GNRHR,antagonist,CETRORELIX,
GLP2R,agonist,GLUCAGON-LIKE PEPTIDE 2,
PIK3C3,inhibitor,BYL719,
NPY2R,agonist,NPY-(20-36) (PIG),
MET,inhibitor,FORETINIB,
SCN8A,inhibitor,BC-III,
SRC,inhibitor,XL-228,
NOD1,inhibitor,ML130,
PTGER3,antagonist,AH6809,
GRIN2D,partial agonist,RAPASTINEL,
PRKD1,inhibitor,SOTRASTAURIN,
RTN4,antibody,OZANEZUMAB,
SCN5A,blocker,INDECAINIDE HYDROCHLORIDE,
TBXA2R,antagonist,[3H]S-145,
KDR,inhibitor,X-82,
FLT4,inhibitor,SORAFENIB,
GRM5,allosteric modulator,[3H]M-MPEP,
TNFRSF10B,agonist,DROZITUMAB,
FGFR1,inhibitor,AZD-4547,
TRPC5,blocker,AC1903,
TAOK3,inhibitor,COMPOUND 1,24793884
P2RY2,agonist,5BRUTP,
SYK,inhibitor,R-333,
SLC5A8,inhibitor,KETOPROFEN,
ADORA1,antagonist,[3H]DPCPX,
PPARG,agonist,TIROTUNDIN,
KCNG3,blocker,DALFAMPRIDINE,
GABRA2,allosteric modulator,FLUNITRAZEPAM,
CSNK1D,inhibitor,D4476,
CACNA1H,blocker,TRIMETHADIONE,
TNFRSF10A,agonist,SC-67655,
ADORA1,agonist,(R)-PIA,
CRHR1,agonist,UROCORTIN 1,
HTR2B,agonist,MK-212,
ADRA1B,antagonist,BMY-7378,
HTR2A,antagonist,ASENAPINE MALEATE,
PIK3CB,inhibitor,AZD8835,
ADRB2,antagonist,CARVEDILOL PHOSPHATE,
GABRA3,positive modulator,DIAZEPAM,
ADRB1,agonist,INDACATEROL,
RRM2B,inhibitor,TEZACITABINE,
CHRNA1,antagonist,ëÔ-CONOTOXIN GI,
PIK3R2,inhibitor,RECILISIB,
S1PR4,agonist,SIPONIMOD,
ATP1A2,inhibitor,DESLANOSIDE,
ROS1,inhibitor,GILTERITINIB,
PTGDR,antagonist,Asapiprant,
FGFR3,inhibitor,CP-459632,
CALCR,agonist,CALCITONIN,
HDAC2,inhibitor,PIVANEX,
ITPKB,inhibitor,GNF362,
KIT,inhibitor,SORAFENIB TOSYLATE,
CHRNB1,partial agonist,DECAMETHONIUM BROMIDE,
CACNB4,modulator,IMAGABALIN,
